Grid_Dimension,Number_of_Steps,Number_of_Cores,Poisson,BC,Total_Computation_Time(ms)
100x100,100,12,0,1,2897
100x100,100,13,0,1,1284
100x100,100,13,0,1,1218
100x100,100,13,0,1,1219
100x100,100,13,0,1,1131
100x100,100,13,0,1,1188
100x100,100,14,0,1,1241
100x100,100,14,0,1,1213
100x100,100,14,0,1,1180
100x100,100,14,0,1,1197
100x100,100,14,0,1,1150
100x100,100,1,2,1,4655
100x100,100,1,2,1,4292
100x100,100,1,2,1,4197
100x100,100,1,2,1,4694
100x100,100,1,2,1,7366
100x100,100,2,2,1,2603
100x100,100,2,2,1,2857
100x100,100,2,2,1,3190
100x100,100,2,2,1,2735
100x100,100,2,2,1,3236
100x100,100,3,2,1,3131
100x100,100,3,2,1,3471
100x100,100,3,2,1,3354
100x100,100,3,2,1,3379
100x100,100,3,2,1,6245
100x100,100,4,2,1,2669
100x100,100,4,2,1,2880
100x100,100,4,2,1,3376
100x100,100,4,2,1,2796
